bio2008-02292->[og-005-00, si-016-08, 0613-0312]
0288-0097->[si-085-06, og-086-03, 015-04]
0314-0189->[0613-0312, pi-0285-2008, 2004-hum-353]
otri-06-oe05->[si-085-06, si-085-02, og-017-01]
otri-06-oe07->[si-085-06, si-016-08, cit-300100-2005-37]
es-323-2002->[og-086-03, og-030-02, og-074-02]
univer09-2009-41-0038->[si-016-08, pi-0592-2009, ren2002-10380-e]
1997-sej-238->[subcs09-001, otri-06-06-pc45, si-085-02]
bff2003-07650->[0613-0312, 2002-fqm-296, si-085-02]
0251-0137->[og-005-00, si-016-08, 0613-0312]
124-03-p->[si-085-06, cit-300100-2005-37, og-086-03]
1fd97-0836->[si-085-06, 0613-0312, otri-06-06-pc45]
0591-0307->[0613-0312, 2002-cvi-210, og-029-01]
2005-cvi-209->[0613-0312, 2004-hum-353, 2002-cvi-210]
0743-0109->[og-086-03, si-085-06, si-016-08]
109-02->[si-085-02, si-085-07, 2004-hum-353]
og-082-99->[si-085-07, 0613-0312, si-085-02]
otri-06-oe12->[og-005-00, si-016-08, 0613-0312]
mtm2009-14483-c02-01->[dpi2002-10391-e, fis2008-05596, acc-511-hum-2001]
sub-cs-001-06->[si-085-02, es-032-2003, otri-06-06-pc45]
1997-hum-231->[og-005-00, si-016-08, 0613-0312]
tic2003-09400-c04-04->[2002-fqm-296, otri-06-06-pc45, subcs09-001]
pi-0300-2001->[0613-0312, pi-0285-2008, si-016-08]
0206-0097->[og-074-02, og-086-03, og-030-02]
pro1997-003->[si-016-08, og-005-00, 0613-0312]
si-061-00->[otri-06-06-pc45, si-085-02, subcs09-001]
si-061-05->[0613-0312, 2002-fqm-296, og-029-01]
agl2000-0524->[si-085-06, og-005-00, si-016-08]
bfu2006-13802->[0613-0312, 2002-cvi-210, og-144-06]
a-6962-06->[si-016-08, 0613-0312, og-005-00]
es-0255-2008->[fis2008-05596, acc-511-hum-2001, og-030-02]
si-093-03->[si-085-06, cit-300100-2005-37, pi-0285-2008]
es-0038-2008->[si-085-06, si-016-08, 2002-cvi-210]
es-0207-2008->[otri-06-06-pc45, si-085-02, subcs09-001]
0368-0216->[0613-0312, 2002-cvi-210, og-029-01]
0881-0159->[si-016-08, 0613-0312, og-005-00]
0109-0073->[og-005-00, si-016-08, 2002-cvi-210]
