p011-08-e15,p051-09-e08,0.0
otri-08-fcie44,p039-07-e25,3.0
otri-08-fcie44,p051-09-e08,3.0
p10-tep-6412,p039-07-e25,3.0
p10-tep-6412,p051-09-e08,3.0
0815-0378,p039-07-e25,3.0
0815-0378,p051-09-e08,3.0
0886-0060,p039-07-e25,3.0
0886-0060,p051-09-e08,3.0
0858-0365,p039-07-e25,0.0
0858-0365,p051-09-e08,0.0
pi-0588-2010,psi2010-17401,0.0
0858-0365,pi-0588-2010,0.0
0858-0365,psi2010-17401,3.0
p10-tep-6412,pi-0588-2010,3.0
p10-tep-6412,psi2010-17401,0.0
p011-08-e15,pi-0588-2010,3.0
p011-08-e15,psi2010-17401,3.0
otri-08-fcie44,pi-0588-2010,0.0
otri-08-fcie44,psi2010-17401,3.0
0815-0378,pi-0588-2010,3.0
0815-0378,psi2010-17401,0.0
0886-0060,pi-0588-2010,0.0
0886-0060,psi2010-17401,0.0
p10-tep-6632,p023-06-e05,2.0
0858-0365,p10-tep-6632,2.0
0858-0365,p023-06-e05,5.0
otri-08-fcie44,p10-tep-6632,3.0
otri-08-fcie44,p023-06-e05,5.0
p10-tep-6412,p10-tep-6632,3.0
p10-tep-6412,p023-06-e05,0.0
p011-08-e15,p10-tep-6632,3.0
p011-08-e15,p023-06-e05,5.0
0815-0378,p10-tep-6632,5.0
0815-0378,p023-06-e05,2.0
0886-0060,p10-tep-6632,3.0
0886-0060,p023-06-e05,2.0
p10-fqm-6462,mtm2010-20445,3.0
p052-08-e26,p10-fqm-6462,2.0
p052-08-e26,mtm2010-20445,3.0
p10-tic-6220,p10-fqm-6462,2.0
p10-tic-6220,mtm2010-20445,3.0
0858-0365,p10-fqm-6462,2.0
0858-0365,mtm2010-20445,2.0
otri-08-fcie44,p10-fqm-6462,3.0
otri-08-fcie44,mtm2010-20445,2.0
p10-tep-6412,p10-fqm-6462,2.0
p10-tep-6412,mtm2010-20445,0.0
p011-08-e15,p10-fqm-6462,2.0
p011-08-e15,mtm2010-20445,2.0
0815-0378,p10-fqm-6462,2.0
0815-0378,mtm2010-20445,2.0
0886-0060,p10-fqm-6462,2.0
0886-0060,mtm2010-20445,2.0
p10-tic-6323,fem2010-15389,2.0
p011-08-e15,p10-tic-6323,2.0
p011-08-e15,fem2010-15389,2.0
p052-08-e26,p10-tic-6323,3.0
p052-08-e26,fem2010-15389,3.0
