p10-tep-5984->[0774-0168, 0794-0096, p039-07-e25]
pro-050->[0794-0096, 0762-0145, p039-07-e25]
p055-08-e05->[0794-0096, 0762-0145, 0774-0168]
p10-fqm-5735->[0794-0096, 0762-0145, 0774-0168]
p005-08-e15->[0794-0096, 0762-0145, 0774-0168]
ctm2010-21957-c02-01->[0788-0369, 0762-0145, 0794-0096]
0785-0328->[0788-0369, 0762-0145, 0794-0096]
jc2010-0006->[0794-0096, 0774-0168, 0854-0387]
jc2010-0126->[0774-0168, 0762-0145, 0788-0369]
0878-0359->[0788-0369, 0762-0145, 0794-0096]
p10-cvi-6368->[0788-0369, 0762-0145, 0794-0096]
otri-08-fcie36->[p039-07-e25, 0762-0145, 0794-0096]
0860-0059->[p039-07-e25, 0762-0145, 0794-0096]
0752-0356->[0794-0096, 0762-0145, 0774-0168]
otri-08-fcie33->[0794-0096, 0762-0145, 0774-0168]
mtm2010-20907-c02-01->[0788-0369, 0762-0145, 0794-0096]
pro-27->[0794-0096, 0762-0145, 0774-0168]
